Gamma Ray,Resistivity,Neutron Porosity,Density,Sonic P,Sonic S,Depth,Facies
119.1739,3.1426,0.2817,2.4524,93.65997312,175.0848566,4222,
123.557,3.0319,0.3055,2.4401,95.68113697,177.1206264,4222.5,
126.7384,2.9415,0.2773,2.4366,95.14086803,178.8759588,4223,
128.8357,2.927,0.258,2.4458,95.04225485,181.0873691,4223.5,
124.4762,2.9,0.2777,2.4638,94.96863918,179.225307,4224,
128.223,2.8409,0.2714,2.4699,95.38813777,180.9550837,4224.5,
131.475,2.8052,0.282,2.4722,95.84261771,180.5205737,4225,
127.7988,2.8032,0.2948,2.482,95.47695523,178.8974896,4225.5,
129.2363,2.848,0.2777,2.4878,95.02141731,179.6365433,4226,
130.7209,2.8858,0.2871,2.4842,95.17011497,178.4211826,4226.5,
124.8061,2.9095,0.3006,2.4903,94.47974322,176.4044889,4227,
124.3112,2.9436,0.2829,2.5031,93.35652449,176.0821318,4227.5,
130.4617,2.9721,0.2884,2.4998,94.22421587,176.3592806,4228,
129.6841,2.9916,0.3019,2.491,94.89640997,176.421337,4228.5,
124.6411,3.0402,0.2813,2.4956,93.26723816,175.2906564,4229,
122.8265,3.0971,0.2665,2.5128,91.97793726,174.7185123,4229.5,
131.4514,3.1172,0.2866,2.5187,92.86733964,173.5996023,4230,
129.7312,3.1211,0.2855,2.5175,92.63391439,173.3446303,4230.5,
121.6482,3.189,0.2903,2.5287,90.76646707,170.145967,4231,
123.5807,3.277,0.2865,2.5278,90.66160709,169.6746054,4231.5,
124.7353,3.2688,0.2722,2.5205,90.95693305,171.1075418,4232,
124.8532,3.2066,0.2682,2.5264,90.9597623,172.0218608,4232.5,
127.516,3.1719,0.2609,2.5291,91.42152544,173.7289785,4233,
131.0508,3.1267,0.251,2.518,92.74622243,177.0618075,4233.5,
141.1839,2.9967,0.2731,2.5001,94.91058387,178.1689901,4234,
153.9093,2.8751,0.3006,2.4827,97.74188653,180.7673562,4234.5,
157.4205,2.963,0.2898,2.4782,96.87400674,179.3498825,4235,
146.3448,3.0096,0.282,2.4865,95.65556572,178.0839504,4235.5,
135.0334,2.9984,0.2608,2.4976,94.41858013,179.172706,4236,
129.095,2.9937,0.256,2.5098,93.51293008,178.8177194,4236.5,
121.7426,3.0199,0.2705,2.5153,92.07143817,175.1268309,4237,
118.8911,3.062,0.2534,2.5159,91.65869161,176.3164679,4237.5,
123.345,3.0973,0.2492,2.5197,91.91329936,176.6700458,4238,
129.8255,3.1793,0.2351,2.531,91.88284501,177.1780189,4238.5,
124.5468,3.2444,0.229,2.5479,90.03994327,174.7771384,4239,
117.8307,3.2333,0.2301,2.5518,88.9545917,173.3742488,4239.5,
122.1196,3.2129,0.2358,2.5473,89.85359594,174.2238083,4240,
126.8562,3.2018,0.2466,2.5499,90.29586345,173.644968,4240.5,
130.8152,3.1743,0.233,2.5442,91.37521892,176.6545972,4241,
133.6665,3.1651,0.2493,2.5353,92.0853265,175.8864038,4241.5,
127.9874,3.1461,0.2308,2.536,91.52338771,177.2961916,4242,
122.1667,3.1109,0.2167,2.5325,90.75253655,177.0827131,4242.5,
128.765,3.0957,0.2455,2.5285,92.19922213,177.2828474,4243,
134.9392,3.0839,0.2468,2.5322,92.82198788,177.8835483,4243.5,
132.7712,3.1144,0.2609,2.5294,92.38193757,175.3849765,4244,
126.7384,3.144,0.2529,2.5172,92.17800238,176.0660861,4244.5,
122.5673,3.1378,0.2312,2.5025,92.39130699,178.6514332,4245,
128.93,3.0871,0.2226,2.4922,93.19197574,180.3630822,4245.5,
134.7506,3.0116,0.2778,2.4939,94.51709807,177.2549305,4246,
123.7691,2.9299,0.2584,2.504,93.46235971,179.2391218,4246.5,
117.6657,2.8956,0.2722,2.5046,92.73204274,177.175996,4247,
129.3778,2.8776,0.2775,2.4955,94.61744711,178.8328492,4247.5,
134.2793,2.866,0.2692,2.4914,95.23159282,180.5492637,4248,
127.8223,2.8422,0.2655,2.479,95.14089164,181.3442843,4248.5,
123.7691,2.8113,0.2682,2.4689,95.23713696,181.5999499,4249,
124.0048,2.8095,0.3056,2.4806,95.34856853,177.9574425,4249.5,
124.4525,2.8177,0.3038,2.4863,95.07021172,177.6251916,4250,
126.1728,2.8331,0.2719,2.478,95.10365971,180.7009336,4250.5,
127.4924,2.8986,0.2744,2.4846,94.68299196,179.1564592,4251,
124.1226,2.993,0.2699,2.4977,93.36834673,177.1571822,4251.5,
125.0889,2.9775,0.2791,2.5032,93.27748577,176.0585728,4252,
129.4484,2.9205,0.2702,2.5132,93.68921433,178.0287835,4252.5,
127.8223,2.8758,0.2823,2.5224,93.20417316,176.4100868,4253,
133.3839,2.8087,0.2718,2.5099,94.87248781,180.3608935,4253.5,
138.5682,2.7095,0.2923,2.481,96.88751121,181.4704927,4254,
135.1276,2.5992,0.3119,2.4664,98.11507561,182.5501548,4254.5,
133.0775,2.495,0.3348,2.4603,99.93544666,184.9378485,4255,
136.6829,2.4052,0.3041,2.4564,98.92630745,185.7130677,4255.5,
137.1307,2.4939,0.3046,2.4732,98.32231732,184.1314555,4256,
131.0508,2.6965,0.2707,2.4971,95.68245745,182.7227474,4256.5,
128.93,2.7705,0.2669,2.5148,94.35506464,180.7438765,4257,
129.6604,2.8055,0.2621,2.5222,93.93215966,180.3443713,4257.5,
131.8757,2.8357,0.2773,2.5221,93.98298253,178.283303,4258,
132.6533,2.8748,0.3077,2.5222,94.53443506,176.3125715,4258.5,
122.9915,2.882,0.2694,2.5234,92.5576924,177.1733995,4259,
112.2692,2.8702,0.2764,2.5231,91.20457714,174.9980438,4259.5,
114.7436,2.8566,0.2803,2.53,91.25544135,174.6306218,4260,
122.5437,2.8458,0.2548,2.5392,91.88995361,178.0678325,4260.5,
127.0919,2.823,0.2742,2.5183,93.63631004,178.4863134,4261,
128.5765,2.7663,0.2941,2.4923,95.34204989,179.066136,4261.5,
126.0786,2.6682,0.2775,2.4898,95.59708219,182.2857585,4262,
122.3316,2.6696,0.2729,2.4948,94.95237829,182.0337171,4262.5,
120.14,2.7165,0.255,2.5034,93.90741384,181.7924056,4263,
121.9781,2.7078,0.2681,2.5038,94.29833876,181.3067831,4263.5,
127.6339,2.6945,0.2618,2.4899,95.50439326,183.484187,4264,
127.516,2.7422,0.2629,2.4872,95.37438839,182.8328438,4264.5,
120.5407,2.7409,0.2618,2.499,94.16157415,181.4823888,4265,
122.0725,2.6349,0.2887,2.4962,95.01203908,180.6372807,4265.5,
132.7004,2.4939,0.3106,2.4724,98.14779616,183.5166672,4266,
141.8674,2.4694,0.2872,2.4675,98.36071953,186.0192909,4266.5,
136.5651,2.5249,0.2688,2.498,96.97197528,185.9312796,4267,
130.3439,2.6085,0.2651,2.5198,95.04894539,183.1546946,4267.5,
133.3131,2.6478,0.2724,2.5114,95.64682421,182.8495947,4268,
135.3397,2.6135,0.2637,2.4947,96.45075321,185.0077677,4268.5,
138.5447,2.5033,0.2742,2.4904,97.50282061,186.2315295,4269,
141.0662,2.456,0.2799,2.4906,98.01977763,186.6591346,4269.5,
131.9228,2.645,0.282,2.4833,96.49668971,182.9499077,4270,
120.2815,2.7571,0.2594,2.4827,94.70278363,182.3179098,4270.5,
116.4403,2.8087,0.2469,2.4958,93.30396824,180.9358237,4271,
115.6391,2.847,0.2506,2.5069,92.58706882,179.5137756,4271.5,
118.2077,2.8385,0.2464,2.5,93.23737353,180.6897525,4272,
124.7353,2.8159,0.2469,2.4879,94.51176004,182.4556409,4272.5,
128.5294,2.8292,0.2614,2.4923,94.89199541,181.5688347,4273,
126.6442,2.8837,0.2601,2.5114,93.69091282,179.6641248,4273.5,
130.0611,2.9383,0.25,2.521,93.42233126,179.7570495,4274,
133.5252,2.9399,0.2538,2.5251,93.64165408,179.5462357,4274.5,
132.5355,2.904,0.2457,2.5362,93.14426348,179.9268886,4275,
141.9381,2.8413,0.2486,2.5344,94.65508826,181.9893886,4275.5,
167.3887,2.6635,0.2709,2.5136,97.87725491,184.362621,4276,
171.0884,2.606,0.2602,2.4988,97.93476838,185.8913776,4276.5,
140.1,2.813,0.2344,2.5061,94.99970992,183.564163,4277,
119.4096,3.0077,0.2448,2.5128,92.15270186,178.2226923,4277.5,
115.0971,3.1259,0.25,2.5132,91.02781219,175.4011123,4278,
108.8051,3.2321,0.2618,2.5186,89.22203748,170.7799071,4278.5,
108.7816,3.1648,0.2459,2.519,89.72427031,173.873437,4279,
116.8881,3.0658,0.2568,2.517,91.27828774,175.4453986,4279.5,
122.9915,3.0096,0.2567,2.5154,92.44379792,177.3475333,4280,
123.557,2.9858,0.2388,2.509,92.8826282,179.7266818,4280.5,
123.887,2.9898,0.2307,2.5081,92.77791734,179.9771269,4281,
122.1903,3.0029,0.243,2.5109,92.61448354,178.9789999,4281.5,
121.3183,3.0312,0.2448,2.5167,92.11447403,177.9578404,4282,
119.4331,3.0782,0.2461,2.5268,91.12616398,176.1557895,4282.5,
123.4392,3.1106,0.2634,2.5262,91.32958403,174.0374539,4283,
127.9402,3.1771,0.244,2.5262,91.83344415,176.2819055,4283.5,
127.3746,3.2726,0.237,2.5368,90.84911245,174.8847257,4284,
128.2701,3.2019,0.2438,2.5423,90.92703449,174.8015139,4284.5,
126.3849,3.0561,0.2913,2.5393,91.46366836,171.8122969,4285,
122.0253,2.9572,0.2704,2.5349,91.43236453,174.8198484,4285.5,
123.3685,2.875,0.2548,2.5349,92.10689173,178.1400701,4286,
134.1143,2.7343,0.2692,2.5274,94.58885102,180.9406106,4286.5,
144.1061,2.5563,0.2945,2.5068,97.59403642,183.4335072,4287,
142.81,2.5171,0.3184,2.504,98.62180437,183.4609791,4287.5,
136.2117,2.6051,0.299,2.5199,95.96755501,180.6011355,4288,
122.638,2.631,0.2787,2.5142,94.2344346,180.7331283,4288.5,
118.9854,2.6255,0.2747,2.4958,94.69970654,181.9788235,4289,
